category,layer,dollars,actions
all,L1_standalone_leq_MPT,3249027237.53,3548166
all,L2_standalone_MPT_to_SAT_STATUTORY,42242131417.77,1411653
all,L3_standalone_gt_SAT_REGULATORY,1446431336723.10,708949
all,L4_order_leq_SAT,117846870087.46,22883410
all,L5_order_gt_SAT_RFO_CARVEOUT,1836120018962.85,1515146
small_business,L1_standalone_leq_MPT,2453405394.67,2725956
small_business,L2_standalone_MPT_to_SAT_STATUTORY,27307881590.84,858181
small_business,L3_standalone_gt_SAT_REGULATORY,214688631006.86,361047
small_business,L4_order_leq_SAT,53149932660.83,10545009
small_business,L5_order_gt_SAT_RFO_CARVEOUT,462343321356.84,697797
sdb,L1_standalone_leq_MPT,565141200.46,816895
sdb,L2_standalone_MPT_to_SAT_STATUTORY,9108210092.28,297522
sdb,L3_standalone_gt_SAT_REGULATORY,113854868674.88,195516
sdb,L4_order_leq_SAT,17076164620.23,3197539
sdb,L5_order_gt_SAT_RFO_CARVEOUT,193404051948.20,324862
eight_a,L1_standalone_leq_MPT,26883781.82,142047
eight_a,L2_standalone_MPT_to_SAT_STATUTORY,1636504790.11,50650
eight_a,L3_standalone_gt_SAT_REGULATORY,61207237263.74,115125
eight_a,L4_order_leq_SAT,5396087519.23,605759
eight_a,L5_order_gt_SAT_RFO_CARVEOUT,86042962732.83,157085
wosb,L1_standalone_leq_MPT,471083574.23,605882
wosb,L2_standalone_MPT_to_SAT_STATUTORY,4682685150.15,157780
wosb,L3_standalone_gt_SAT_REGULATORY,26510260307.66,63960
wosb,L4_order_leq_SAT,8900005032.10,1213523
wosb,L5_order_gt_SAT_RFO_CARVEOUT,77658502866.33,136527
edwosb,L1_standalone_leq_MPT,64687545.85,122364
edwosb,L2_standalone_MPT_to_SAT_STATUTORY,1163414874.09,43121
edwosb,L3_standalone_gt_SAT_REGULATORY,10719616706.27,33068
edwosb,L4_order_leq_SAT,2722408498.11,330598
edwosb,L5_order_gt_SAT_RFO_CARVEOUT,29460849972.66,61395
hubzone,L1_standalone_leq_MPT,78920323.41,115021
hubzone,L2_standalone_MPT_to_SAT_STATUTORY,1463788855.41,44047
hubzone,L3_standalone_gt_SAT_REGULATORY,17539699131.49,34033
hubzone,L4_order_leq_SAT,3874048687.12,240094
hubzone,L5_order_gt_SAT_RFO_CARVEOUT,40432228700.44,64453
sdvosb,L1_standalone_leq_MPT,121852310.05,225938
sdvosb,L2_standalone_MPT_to_SAT_STATUTORY,4231844887.22,124926
sdvosb,L3_standalone_gt_SAT_REGULATORY,39192804970.53,72771
sdvosb,L4_order_leq_SAT,8227854337.92,465120
sdvosb,L5_order_gt_SAT_RFO_CARVEOUT,100394748841.56,141309
vosb,L1_standalone_leq_MPT,234082555.86,350363
vosb,L2_standalone_MPT_to_SAT_STATUTORY,5383003177.19,164848
vosb,L3_standalone_gt_SAT_REGULATORY,46909595678.95,87482
vosb,L4_order_leq_SAT,10615538697.60,754672
vosb,L5_order_gt_SAT_RFO_CARVEOUT,127958933813.88,171656
woman_owned,L1_standalone_leq_MPT,519063731.72,688331
woman_owned,L2_standalone_MPT_to_SAT_STATUTORY,5149385354.48,177019
woman_owned,L3_standalone_gt_SAT_REGULATORY,38324901176.99,71035
woman_owned,L4_order_leq_SAT,10408406099.12,1703285
woman_owned,L5_order_gt_SAT_RFO_CARVEOUT,100856757007.76,163937
